Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,Sales Price,Total Sales Price,Purchase Price,Total Purchase Price,Cost Price ,Tptal Cost Price,vat,total vat,total inc vat
121010120,Dettol Anti Bactirial Wipes 20s,1,505239,9/30/2025,1.00 ,20,20,18.41,18.41,18.41,18.41,0.15,2.76,21.17
121000899,Dettol Antiseptic Solu 125 ml,1,505241,12/30/2025,1.00 ,9.9,9.9,9.9,9.9,9.9,9.9,0.15,1.49,11.39
121000900,Dettol Antiseptic Solu 250 ml,1,476393,4/30/2025,4.00 ,16,64,13.1,52.4,13.1,52.4,0.15,7.86,60.26
121000901,Dettol Antiseptic Solu 500 ml,1,505242,7/31/2025,1.00 ,31,31,31,31,31,31,0.15,4.65,35.65
121018211,Dettol Body Wash Cool 700ml,1,505246,10/31/2024,2.00 ,50,100,50,100,50,100,0.15,15,115
121013993,Dettol Disinfectant Spray Citrus 450ml,1,505244,2/28/2025,1.00 ,35.17,35.17,35.17,35.17,35.17,35.17,0.15,5.28,40.45
121000913,Dettol Hand Wash Original 200ml,1,548114,1/2/2026,12.00 ,15,180,10.66,127.92,10.66,127.92,0.15,19.19,147.11
121005800,Dettol Hand Wash Sensitive 250ml,1,548115,7/8/2026,2.00 ,15,30,10.66,21.32,10.66,21.32,0.15,3.2,24.52
121000923,Dettol Personal Care 250 ml (Green),1,476395,11/30/2025,1.00 ,17,17,12,12,12,12,0.15,1.8,13.8
121005341,Dettol Shower Gel Cool 300ml,1,505245,9/30/2025,2.00 ,24.96,49.92,24.96,49.92,24.96,49.92,0.15,7.49,57.41
121000934,Dettol Shower Gel Fresh 250ml,1,505247,6/18/2025,3.00 ,26,78,26,78,26,78,0.15,11.7,89.7
121000935,Dettol Shower Gel Fresh 250ml+Puff,1,505248,7/16/2025,2.00 ,30,60,30,60,30,60,0.15,9,69
121000939,Dettol Shower Gel Origenal 250ml,1,505249,5/31/2025,4.00 ,24.96,99.84,24.96,99.84,24.96,99.84,0.15,14.98,114.82
121013997,Dettol Shower Gel Origenal 500ml,1,500605,5/31/2026,1.00 ,38,38,25.5,25.5,25.5,25.5,0.15,3.83,29.33
121000943,Dettol Shower Gel Sensitive 500ml,1,500606,9/17/2025,2.00 ,38,76,26.5,53,26.5,53,0.15,7.95,60.95
121000944,Dettol Shower Gel Skin Care 250ml,1,505250,5/31/2025,1.00 ,26,26,26,26,26,26,0.15,3.9,29.9
121000907,Dettol Soap Fresh 165g,1,505254,10/31/2025,3.00 ,9.09,27.27,9.09,27.27,9.09,27.27,0.15,4.09,31.36
121000957,Dettol Soap Origenel 165 Gr,1,524812,7/30/2025,2.00 ,9.09,18.18,3.83,7.66,3.83,7.66,0.15,1.15,8.81
121000957,Dettol Soap Origenel 165 Gr,1,505255,6/30/2025,2.00 ,9.09,18.18,9.09,18.18,9.09,18.18,0.15,2.73,20.91
121000960,Dettol Soap Sensative 125g,1,505258,8/31/2025,2.00 ,7,14,7,14,7,14,0.15,2.1,16.1
121000948,Dettol Soap Skin Care 125g,1,524813,1/23/2026,3.00 ,6,18,2.25,6.75,2.25,6.75,0.15,1.01,7.76
121000962,Dettol Soap Skin Care 165 Gr,1,505257,10/11/2024,5.00 ,9.09,45.45,9.09,45.45,9.09,45.45,0.15,6.82,52.27
121000965,Dettol Spray Crips Linen 450 ml,1,505243,2/28/2025,1.00 ,35.17,35.17,31.96,31.96,31.96,31.96,0.15,4.79,36.75
111004477,Devarin 10mg 4 tab,BX0916,549164,7/8/2026,2.00 ,53.95,107.9,53.95,107.9,37.77,75.54,0,0,75.54
111004042,Devarin 20mg 4 Tab,BV1784,540504,11/8/2025,3.75 ,68.7,257.63,68.7,257.63,43.01,161.3,0,0,161.3
111000700,Dexaflox Opth. susp. (drops) 5ml/bt.,BA0349,531112,1/31/2027,1.00 ,14.95,14.95,10.47,10.47,10.47,10.47,0,0,10.47
111000700,Dexaflox Opth. susp. (drops) 5ml/bt.,BD0389,545480,4/22/2027,6.00 ,14.95,89.7,14.95,89.7,10.47,62.8,0,0,62.8
111003675,Dexilant 30mg 28Cap,513931,471962,3/1/2025,1.00 ,61.15,61.15,61.15,61.15,50.96,50.96,0,0,50.96
111003625,Dexilant 60mg 28 tab,513969,455498,2/1/2025,1.00 ,83.85,83.85,83.85,83.85,72.92,72.92,0,0,72.92
111003625,Dexilant 60mg 28 tab,516105,511357,8/1/2025,1.00 ,98.95,98.95,98.95,98.95,86.05,86.05,0,0,86.05
111000708,Dextrose 5% Oral Glass 90ml,150150,547502,7/13/2026,6.00 ,5,30,4.17,25.02,4.17,25.02,0,0,25.02
121011341,Diabetone 30 Cap,DSA2306T,549323,10/1/2025,2.00 ,20.4,40.8,20.4,40.8,17,34,0,0,34
111000714,Diamicron MR 30mg 30tab,6094036,549166,11/30/2026,5.00 ,24,120,24,120,20,100.01,0,0,100.01
111003553,Diamicron MR 60mg 30Tab,6088363,539732,11/30/2026,1.00 ,24,24,20,20,20,20,0,0,20
111003553,Diamicron MR 60mg 30Tab,6094812,545566,1/31/2027,8.00 ,24,192,24,192,20,160.01,0,0,160.01
111000715,Diane-35 21 tab,KT0LTB4,545857,8/31/2026,1.00 ,21.9,21.9,21.9,21.9,18.25,18.25,0,0,18.25
111004369,Diaoptim Mr 60mg 30 Tab,3095805,546144,2/28/2027,1.00 ,24,24,24,24,20,20,0,0,20
111000718,Dicetel 50mg tab 20,721413,484662,4/30/2025,1.00 ,14,14,14,14,11.67,11.67,0,0,11.67
111000723,Diclogesic Retard 100mg 10 tabs,8869,546145,4/1/2028,3.00 ,9.05,27.15,9.05,27.15,5.05,15.16,0,0,15.16
111000724,Diclogesic Retard 100mg 12 cap,2651,526660,4/1/2026,1.00 ,17.2,17.2,17.2,17.2,10.32,10.32,0,0,10.32
111000726,Diclomax Emulgel,7039,511327,12/1/2026,1.00 ,10.55,10.55,10.55,10.55,0,0,0,0,0
111003976,Diclopid 50 mg 20 Tab,4224005,540993,8/1/2027,2.00 ,9.1,18.2,9.1,18.2,5.08,10.16,0,0,10.16
111004053,Dicoflor 60mg 10 caps,MY885,527987,9/30/2025,2.00 ,68,136,68,136,45.34,90.67,0,0,90.67
111004526,Dicoflor Drops,M10573,535684,1/31/2026,3.00 ,98,294,98,294,68.18,204.53,0,0,204.53
121020013,Dicora Shampo Smooth Shine 800ml,55555,452088,8/1/2025,1.00 ,30,30,17.96,17.96,17.96,17.96,0.15,2.69,20.65
111000734,Differen 30gm cream,3074221,493166,3/20/2026,3.00 ,18.75,56.25,18.75,56.25,15.63,46.88,0,0,46.88
111000735,Diflucan 150mg 1cap,C031704,543931,4/30/2029,5.00 ,19.45,97.25,19.45,97.25,16.21,81.05,0,0,81.05
111000736,Digestyl 60 caps,23B126-1,546146,3/1/2026,1.00 ,69.55,69.55,69.55,69.55,51.43,51.43,0,0,51.43
111004376,Dilamuc Syrup 100ml,31122,540994,11/30/2025,2.00 ,54.85,109.7,54.85,109.7,28.8,57.6,0,0,57.6
111000742,Diovan 160mg 28 tab,B9082X,540995,10/31/2026,1.00 ,42.5,42.5,42.5,42.5,33.65,33.65,0,0,33.65
111000760,Divido 75 mg 20 Capsuls,4TJ640,545481,4/1/2027,1.00 ,30.65,30.65,30.65,30.65,18.39,18.39,0,0,18.39
111000761,Dizinil 50mg 20tab,4310,545862,4/23/2026,2.00 ,9.4,18.8,9.4,18.8,7.83,15.67,0,0,15.67
111000763,Dogmatil 50mg 30cap,N0807,545483,7/31/2026,3.00 ,21.4,64.2,21.4,64.2,17.83,53.5,0,0,53.5
111000764,Dogmatil fort 200mg 12tab,N1984,545482,8/31/2026,2.00 ,22.5,45,22.5,45,18.75,37.5,0,0,37.5
121018786,Dolphin Loofah Back Pad 8263,1,435044,6/30/2025,1.00 ,20,20,8.5,8.5,8.5,8.5,0.15,1.28,9.78
121018930,Dolphin Loofah Back Pad With Hand 7952,1,435046,6/30/2025,2.00 ,22,44,9.75,19.5,9.75,19.5,0.15,2.93,22.43
111000766,Dolvic K 50mg 20tab,1240387,546148,6/30/2027,5.00 ,11.15,55.75,11.15,55.75,6.5,32.52,0,0,32.52
111000767,Dompy 10 mg 30 tab,AM0360,540508,11/1/2026,8.00 ,16.25,130,16.25,130,9.07,72.59,0,0,72.59
111000768,Dompy oral susp. 200 ml,BC0278,549324,3/2/2026,9.00 ,19,171,19,171,14.25,128.26,0,0,128.26
111003880,Dorofen 500/50 90 caps,2410823,524259,7/1/2026,2.00 ,81.9,163.8,81.9,163.8,67.66,135.32,0,0,135.32
111003880,Dorofen 500/50 90 caps,2460523,510518,4/30/2026,1.00 ,81.9,81.9,81.9,81.9,65.52,65.52,0,0,65.52
111002902,Dorofen 500/50 mg Caps 40cap,2480823,545484,7/31/2026,1.00 ,36.4,36.4,36.4,36.4,27.61,27.61,0,0,27.61
111000770,Dostinex 0.5 mg 2 tab,HY9056,540509,1/31/2026,2.00 ,41.4,82.8,41.4,82.8,34.5,69.01,0,0,69.01
121014300,Dove Beauty Bar Revive  135 ml,1,492816,5/31/2026,1.00 ,10,10,5.1,5.1,5.1,5.1,0.15,0.77,5.87
121000994,Dove Beauty Cream 150ml 203022,1,469077,7/31/2025,3.00 ,12,36,8.65,25.95,8.65,25.95,0.15,3.89,29.84
121000994,Dove Beauty Cream 150ml 203022,1,473118,8/16/2025,3.00 ,12,36,8.65,25.95,8.65,25.95,0.15,3.89,29.84
121000995,Dove Beauty Cream 250ml 203023,1,469078,5/31/2025,8.00 ,18,144,13,104,13,104,0.15,15.6,119.6
121000996,Dove Beauty Cream 75ml 208122,1,496405,10/31/2025,3.00 ,8,24,5.25,15.75,5.25,15.75,0.15,2.36,18.11
121018601,Dove Body Wash Go Fresh Cucumber&Green Tea 250ml+Kit,1,500657,9/1/2026,2.00 ,30,60,19.5,39,19.5,39,0.15,5.85,44.85
121016661,Dove Body Wash Go Fresh Pomegrante 250ml+puff,1,500658,6/21/2026,2.00 ,30,60,19.5,39,19.5,39,0.15,5.85,44.85
121020199,Dove Body Wash Invigorating Ritual Avocado 500ml,1,501252,7/31/2026,1.00 ,53,53,35.75,35.75,35.75,35.75,0.15,5.36,41.11
121019063,Dove Body Wash Reviving Pomegrante And Hibiscus 500ml,1,504393,8/31/2026,1.00 ,45,45,29.75,29.75,29.75,29.75,0.15,4.46,34.21
121001018,Dove Cond Hair Fall Therapy 350ml,1,439306,3/4/2025,2.00 ,23,46,14.5,29,14.5,29,0.15,4.35,33.35
121014293,Dove Cond Nourshing Oil Care 350ml,1,539104,3/18/2027,3.00 ,23,69,14.5,43.5,14.5,43.5,0.15,6.53,50.03
121016979,Dove Cond Reparing Ritual Coconut 350ml,1,539105,1/13/2027,2.00 ,27,54,16.45,32.9,16.45,32.9,0.15,4.94,37.84
121016969,Dove Conditioner Daily Care 350ml,1,476404,4/15/2025,1.00 ,20,20,14.5,14.5,14.5,14.5,0.15,2.18,16.68
121013808,Dove Deo Aero Extra Fresh Men Amex 150ml 207913,1,539045,10/28/2026,3.00 ,28,84,17.47,52.41,17.47,52.41,0.15,7.86,60.27
121013808,Dove Deo Aero Extra Fresh Men Amex 150ml 207913,1,495175,6/30/2026,4.00 ,28,112,19.07,76.28,19.07,76.28,0.15,11.44,87.72
121001030,Dove Deo Cream Original 50ml 203029,1,547792,3/28/2027,9.00 ,22,198,13,117,13,117,0.15,17.55,134.55
121014287,Dove Deo Invisible Dry Aersol Women 150 ml,1,528632,4/14/2027,2.00 ,28,56,17.47,34.94,17.47,34.94,0.15,5.24,40.18
121014997,Dove Deo Roll On Go Fresh 50ml,1,547793,9/27/2026,3.00 ,20,60,12.33,36.99,12.33,36.99,0.15,5.55,42.54
121016663,Dove Deo Roll Restoring Ritual Coconut 50ml,1,515904,5/11/2026,3.00 ,23,69,15.4,46.2,15.4,46.2,0.15,6.93,53.13
121001033,Dove Deo Spray Original 150ml,1,539046,4/1/2027,1.00 ,28,28,17.47,17.47,17.47,17.47,0.15,2.62,20.09
121001033,Dove Deo Spray Original 150ml,1,528633,2/24/2027,1.00 ,28,28,17.47,17.47,17.47,17.47,0.15,2.62,20.09
121001038,Dove Deo Stick Fresh Touch 40 g,1,546741,1/12/2026,6.00 ,23,138,16.11,96.66,16.11,96.66,0.15,14.5,111.16
121012186,Dove Deo Stick Invisible Dry Amet 40g,1,548192,6/6/2026,6.00 ,23,138,16.11,96.66,16.11,96.66,0.15,14.5,111.16
121001039,Dove Deo Stick Original 40 g,1,538747,4/1/2026,1.00 ,23,23,16.11,16.11,16.11,16.11,0.15,2.42,18.53
121001039,Dove Deo Stick Original 40 g,1,548193,4/25/2026,5.00 ,23,115,16.11,80.55,16.11,80.55,0.15,12.08,92.63
121001057,Dove Intensive Cream 250ml 203036,1,512960,2/28/2026,1.00 ,18,18,12.6,12.6,12.6,12.6,0.15,1.89,14.49
121001057,Dove Intensive Cream 250ml 203036,1,469080,3/31/2025,6.00 ,18,108,12.6,75.6,12.6,75.6,0.15,11.34,86.94
121001057,Dove Intensive Cream 250ml 203036,1,449412,1/7/2025,2.00 ,18,36,13.5,27,13.5,27,0.15,4.05,31.05
121001058,Dove Intensive Cream 75ml,1,496406,2/28/2026,11.00 ,8,88,4.8,52.8,4.8,52.8,0.15,7.92,60.72
121019188,Dove Oil Replacement Reparing Ritual 300ml,1,472672,9/30/2025,1.00 ,22,22,15.18,15.18,15.18,15.18,0.15,2.28,17.46
121014295,Dove Oil Replacment Hair Fall Rescue  350 ml,1,463249,1/31/2025,3.00 ,22,66,15.18,45.54,15.18,45.54,0.15,6.83,52.37
121020044,Dove Roll On Pomegrnate 50ml,1,547794,2/1/2027,5.00 ,20,100,12.33,61.65,12.33,61.65,0.15,9.25,70.9
121001072,Dove Sham Colour Repair Therapy 400ml,1,463369,9/30/2025,2.00 ,21,42,12.8,25.6,12.8,25.6,0.15,3.84,29.44
121009274,Dove Sham Hair Fall Rescue Therapy 200ml 207615,1,548190,8/23/2027,6.00 ,13,78,7.75,46.5,7.75,46.5,0.15,6.98,53.48
121001076,Dove Sham Hair Fall Rescue Therapy 400ml 207623,1,469082,11/8/2025,2.00 ,21,42,12.8,25.6,12.8,25.6,0.15,3.84,29.44
121001075,Dove Sham Hair Fall Therapy 200ml,1,528628,12/1/2026,2.00 ,13,26,7.75,15.5,7.75,15.5,0.15,2.33,17.83
121014984,Dove Sham Hair Fall Therapy 600ml,1,462855,7/5/2025,3.00 ,31,93,19.5,58.5,19.5,58.5,0.15,8.78,67.28
121014984,Dove Sham Hair Fall Therapy 600ml,1,439314,3/31/2025,2.00 ,31,62,20.25,40.5,20.25,40.5,0.15,6.08,46.58
121014984,Dove Sham Hair Fall Therapy 600ml,1,476372,3/10/2026,1.00 ,31,31,19.5,19.5,19.5,19.5,0.15,2.93,22.43
121014985,Dove Sham Intensive RepairTherapy 600ml,1,439317,2/28/2025,1.00 ,31,31,20.25,20.25,20.25,20.25,0.15,3.04,23.29
121001079,Dove Sham Moisturizing Therapy 200ml 207610,1,548191,7/17/2027,6.00 ,13,78,7.75,46.5,7.75,46.5,0.15,6.98,53.48
121001105,Dove Sham Moisturizing Therapy 600ml,1,512494,5/31/2026,1.00 ,31,31,19.5,19.5,19.5,19.5,0.15,2.93,22.43
121014284,Dove Sham Nourishing Oil Care 200 ml,1,528629,2/1/2027,7.00 ,13,91,7.75,54.25,7.75,54.25,0.15,8.14,62.39
121015550,Dove Sham Nourishing Oil Care 600ml,1,512496,11/12/2026,1.00 ,31,31,19.5,19.5,19.5,19.5,0.15,2.93,22.43
121015550,Dove Sham Nourishing Oil Care 600ml,1,462858,8/31/2025,2.00 ,31,62,19.5,39,19.5,39,0.15,5.85,44.85
121015551,Dove Sham Split Ends Rescue 600ml,1,462859,9/30/2025,2.00 ,31,62,19.5,39,19.5,39,0.15,5.85,44.85
121015551,Dove Sham Split Ends Rescue 600ml,1,512499,8/31/2025,1.00 ,31,31,19.5,19.5,19.5,19.5,0.15,2.93,22.43
121022089,Dove Shampo Daily Care 2IN1 590ml,1,539040,5/21/2027,3.00 ,29,87,11.2,33.6,11.2,33.6,0.15,5.04,38.64
121015504,Dove Shampoo Anti-Dandruf 600ml,+65++62++,448346,5/30/2025,1.00 ,29,29,26.1,26.1,16.97,16.97,0.15,2.55,19.52
121015504,Dove Shampoo Anti-Dandruf 600ml,158165,448343,5/30/2025,1.00 ,29,29,28,28,18.2,18.2,0.15,2.73,20.93
121015504,Dove Shampoo Anti-Dandruf 600ml,633,448339,3/30/2025,2.00 ,29,58,26,52,16.9,33.8,0.15,5.07,38.87
121015504,Dove Shampoo Anti-Dandruf 600ml,1,512482,1/14/2027,1.00 ,31,31,19.5,19.5,19.5,19.5,0.15,2.93,22.43
121015504,Dove Shampoo Anti-Dandruf 600ml,14,448341,4/30/2025,5.00 ,29,145,28,140,18.2,91,0.15,13.65,104.65
121009524,Dove Shampoo Daily Care 2 IN 1 Therpay 700ml 207628,1,512485,11/30/2026,1.00 ,31,31,19.5,19.5,19.5,19.5,0.15,2.93,22.43
121001091,Dove Shampoo Daily Care Therapy 600ml,1,512487,8/3/2026,1.00 ,31,31,19.5,19.5,19.5,19.5,0.15,2.93,22.43
111000777,Doxydar 100mg 10 caps,632,546149,6/1/2028,2.00 ,12.1,24.2,12.1,24.2,8.47,16.94,0,0,16.94
121019909,Dr.Brush Dental Wax,1,534058,12/12/2028,4.00 ,10,40,3.75,15,3.75,15,0,0,15
121019910,Dr.Brush Interdental Brush,1,505381,9/1/2027,5.00 ,20,100,10,50,10,50,0,0,50
111000778,Drossa-Nose oint. tubes 20 g,91123,540510,11/1/2026,1.00 ,29.95,29.95,29.95,29.95,24.96,24.96,0,0,24.96
111004071,Duetact 30/4 MG 30 Tab,7597,546151,5/14/2026,1.00 ,125.8,125.8,125.8,125.8,109.4,109.4,0,0,109.4
111004195,Dulcolax 5mg 40 Tab,240282,549325,1/31/2027,10.00 ,11.2,112,11.2,112,9.33,93.34,0,0,93.34
111004195,Dulcolax 5mg 40 Tab,240001,540511,12/31/2026,2.00 ,11.2,22.4,11.2,22.4,9.33,18.67,0,0,18.67
111003763,Duodart 0.5mg 30Tab,5893410B,547503,11/30/2025,1.00 ,103.6,103.6,90.09,90.09,90.09,90.09,0,0,90.09
111000787,Duphalac Oral Solution300 ml,374343,540513,1/5/2027,6.00 ,24.4,146.4,24.4,146.4,17.69,106.15,0,0,106.15
111000788,Duphaston 10mg 20 tab,373539,543842,12/31/2028,3.00 ,52.9,158.7,52.9,158.7,44.09,132.26,0,0,132.26
121007521,Durex Condom Flavours 12pcs,1,476408,8/31/2027,2.00 ,64,128,35.72,71.44,35.72,71.44,0,0,71.44
121016855,Durex Condom Invisible Extra Thin 12pcs,1,464959,10/1/2026,2.00 ,109,218,59.04,118.08,59.04,118.08,0,0,118.08
121015899,Durex Condom Mutual Pleasure 10pcs,1,539107,1/31/2028,3.00 ,64,192,48.96,146.88,48.96,146.88,0,0,146.88
121018829,Durex Condom Thin Feel 6pcs,1,539108,12/31/2028,3.00 ,38,114,25.04,75.12,25.04,75.12,0,0,75.12
121009196,Durex Play 2in1 Sensuel Massage 200ml,1,524816,2/23/2025,1.00 ,84,84,48.35,48.35,48.35,48.35,0,0,48.35
142000022,Durex Play Cherry Pump 50ml,1,546865,1/31/2027,2.00 ,46,92,24.66,49.32,24.66,49.32,0,0,49.32
111000793,Duspatalin 200mg  30 Cap,24200200,545378,7/31/2026,1.00 ,48.15,48.15,38.52,38.52,38.52,38.52,0,0,38.52
111000795,E- Mox 125 mg Dry Mix,2302477,484684,4/30/2026,1.00 ,6.15,6.15,6.15,6.15,4.05,4.05,0,0,4.05
111000796,E- Mox 250mg Dry mix,2400051,524089,1/1/2027,4.00 ,10.25,41,10.25,41,7.18,28.7,0,0,28.7
111000797,E- Mox 500 mg  Caps,2402978,546152,3/28/2027,2.00 ,10.25,20.5,10.25,20.5,7.18,14.35,0,0,14.35
121006629,EAR PLUG FOM سداده,1,534738,12/1/2030,3.00 ,12,36,5,15,5,15,0.15,2.25,17.25
111000798,Earcalm Ear Drops 5ml,23DL29,545486,1/31/2027,5.00 ,9,45,9,45,7.5,37.5,0,0,37.5
111002815,Easymax Voice Kite System,1,401542,12/1/2030,2.00 ,150,300,35,70,35,70,0,0,70
111002812,Easymax Voice Test Strips 50 Blood,1,548739,3/30/2026,3.00 ,85,255,62,186,62,186,0,0,186
111004591,Ectollerg Eye Drop,23f014,503778,11/1/2025,3.00 ,88.31,264.93,88.31,264.93,76.79,230.38,0,0,230.38
111000805,Efexor XR 150mg 14 cap,GR9635J,549326,1/31/2026,1.00 ,95.05,95.05,95.05,95.05,82.66,82.66,0,0,82.66
121005848,ELASTIC WRIST BRACE XL,9999999999,175406,12/1/2030,2.00 ,35,70,35,70,22.77,45.54,0,0,45.54
121014422,Elbow Support SB303,1,494153,12/1/2030,2.00 ,55,110,35,70,35,70,0,0,70
151000329,Elbow Walking Stick,1,498877,10/10/2027,2.00 ,45,90,29,58,29,58,0,0,58
111000814,Elica - M - Cream 30 gm,AN0436,543630,1/1/2026,8.00 ,25.55,204.4,25.55,204.4,12.56,100.5,0,0,100.5
111000815,Elica 0.1% Cream 30 gm,AM0128,539263,11/1/2026,1.00 ,19.2,19.2,19.2,19.2,9.44,9.44,0,0,9.44
111000815,Elica 0.1% Cream 30 gm,BC0426,543766,3/1/2027,3.00 ,19.2,57.6,19.2,57.6,9.44,28.32,0,0,28.32
111000816,Elica 1% Oint. 30 gm,BA0236,540999,1/1/2027,3.00 ,18,54,18,54,8.85,26.55,0,0,26.55
111000816,Elica 1% Oint. 30 gm,AI00454,531119,10/4/2026,1.00 ,18,18,8.85,8.85,8.85,8.85,0,0,8.85
111000817,Elicasal Oint. 30 gm,BB0320,543592,2/26/2027,2.00 ,25.55,51.1,25.55,51.1,14.27,28.53,0,0,28.53
121001190,Elvive 2-1 Anti Dandruff All Hair Shampoo250ml,25586322,448358,2/28/2025,1.00 ,15,15,14,14,9.1,9.1,0.15,1.37,10.47
121014010,Elvive Cond Arginine Resist Anti Hair Fall 400ml,1,453595,8/28/2025,1.00 ,25,25,13.32,13.32,13.32,13.32,0.15,2,15.32
121014956,Elvive Cond Keratin Straight 400ml,1,500635,9/23/2026,3.00 ,25,75,12.83,38.49,12.83,38.49,0.15,5.77,44.26
121014012,Elvive Cond Nourishing 400ml,1,515857,11/20/2026,2.00 ,25,50,12.83,25.66,12.83,25.66,0.15,3.85,29.51
121017339,Elvive Conditioner Dream Long Straight 400ml,12.83,500631,8/31/2026,2.00 ,25,50,12.83,25.66,12.83,25.66,0.15,3.85,29.51
121017340,Elvive Oil Replacement Dream Long Straight 300ml,1,445162,6/30/2025,1.00 ,21,21,13.75,13.75,13.75,13.75,0.15,2.06,15.81
121017340,Elvive Oil Replacement Dream Long Straight 300ml,1,457295,11/17/2025,1.00 ,27,27,16.7,16.7,16.7,16.7,0.15,2.51,19.21
121017340,Elvive Oil Replacement Dream Long Straight 300ml,1,500636,9/13/2026,2.00 ,27,54,16.7,33.4,16.7,33.4,0.15,5.01,38.41
121010930,Elvive Sham Arginine Resist Anti Hair Fall 400ml,1,533600,6/28/2027,2.00 ,20,40,11,22,11,22,0.15,3.3,25.3
121013890,Elvive Sham Colour Protect 400ml,99,448338,12/30/2024,1.00 ,20,20,20,20,13,13,0.15,1.95,14.95
121016145,Elvive Sham Extraordinary Oil 200ml,1,489110,6/30/2026,4.00 ,14,56,9.28,37.12,9.28,37.12,0.15,5.57,42.69
121016145,Elvive Sham Extraordinary Oil 200ml,1,533713,6/13/2027,3.00 ,14,42,9.28,27.84,9.28,27.84,0.15,4.18,32.02
121016348,Elvive Sham Extraordinary Oil 400ml,1,500638,9/5/2026,1.00 ,20,20,11.06,11.06,11.06,11.06,0.15,1.66,12.72
121014678,Elvive Sham Total Repair Damage Hair 200ml,1,533710,6/8/2027,2.00 ,14,28,9.25,18.5,9.25,18.5,0.15,2.78,21.28
121014678,Elvive Sham Total Repair Damage Hair 200ml,1,485574,7/31/2026,3.00 ,14,42,9.28,27.84,9.28,27.84,0.15,4.18,32.02
121013990,Elvive Sham Total Repair Repairing 400ml,1,528749,11/30/2026,4.00 ,20,80,11,44,11,44,0.15,6.6,50.6
121013990,Elvive Sham Total Repair Repairing 400ml,1,539114,6/12/2027,3.00 ,20,60,11,33,11,33,0.15,4.95,37.95
121015729,Elvive Sham Total Repair Repairing 700ml,1,515859,12/26/2026,3.00 ,30,90,17.06,51.18,17.06,51.18,0.15,7.68,58.86
121015729,Elvive Sham Total Repair Repairing 700ml,1,432316,10/1/2024,1.00 ,30,30,17.5,17.5,17.5,17.5,0.15,2.63,20.13
