 رقم الصنف,اسم الصنف,يدوي,اوتماتيك,whats,VAT,QTY,SALES PRICE,TOTAL SP,PURCHASE PRC,TOTAL PP,COST P,TOTAL CP,VAT,VAT VALUE,TOTAL CP
121021436,One Hair Remover Cream Shower Normal lanolin 140gm,1,505298,5/30/2026,15,10,16,160,16,160,16,160,0.15,24,184
121000649,Conair hair Drier 480 Ed,9999999999,206341,12/1/1999,15,1,157,157,157,157,102.12,102.12,0.15,15.32,117.44
121001239,Emjoi Optima Mini Purple Ap96s,9999999999,206348,12/1/1999,15,1,155,155,155,155,100.82,100.82,0.15,15.12,115.94
111002111,Seretide Evohaler 250 mcg,NK3L,510762,1/4/2025,0,1,148.85,148.85,148.85,148.85,129.44,129.44,0,0,129.44
151000803,Pigon Pltc Juice Fdr 50cc/2 New D348,1,243718,12/1/1999,15,8,18,144,12.5,100,11.9,95.17,0.15,14.28,109.45
121014993,One Hair Removal Cream For Dry Skin 90g,1,505294,3/30/2026,15,9,14,126,14,126,14,126,0.15,18.9,144.9
121001703,Gillette Venus Cartridge4 4s 32093,1,252164,12/1/1999,15,2,62,124,44.25,88.5,40.3,80.6,0.15,12.09,92.69
111003735,Mugesic Muscle Pain Relief Cream 100g,17987,543896,4/4/2026,0,2,60,120,21.65,43.29,21.65,43.29,0,0,43.29
121006067,Sauna Suit 0040 Sundal,1,350872,12/1/1999,15,2,60,120,60,120,34.2,68.4,0.15,10.26,78.66
111004692,Avalon Ciprogram 500mg 10 tab,2593026,528849,11/1/2026,0,2,54.25,108.5,26.68,53.36,26.68,53.36,0,0,53.36
121001623,Gillette Body Bags 3pcs 32597,1,538764,3/31/1934,15,10,10,100,6.25,62.5,6.25,62.5,0.15,9.38,71.88
111003807,Lodipam 10mg 30tab,18281,543895,6/6/2027,0,2,45.95,91.9,27.35,54.7,27.35,54.7,0,0,54.7
111002228,Takepron 30mg 14tab,154179,514977,5/1/2025,0,2,45.95,91.9,45.95,91.9,26.65,53.3,0,0,53.3
121005936,Emjoi Power Ueht-171,9999999999,205385,12/1/1999,15,1,90,90,90,90,58.5,58.5,0.15,8.78,67.28
121020421,Philips Dry care 1400w Hair Dryer,1,461212,9/1/1931,15,1,87,87,55.68,55.68,55.68,55.68,0.15,8.35,64.03
111000921,Fenistil Gel,ac6k,548235,5/5/2026,0,8,10.25,82,10.25,82,8.54,68.33,0,0,68.33
111001739,Otrivin 0.5% Pead Drops,XF8G,537780,1/30/2027,0,8,10.1,80.8,10.1,80.8,8.42,67.33,0,0,67.33
131000526,Nuralac No.2 900g,1,510577,3/1/2025,15,1,80,80,68,68,68,68,0.15,10.2,78.2
151001536,Barak Canchamber (L),1,351008,12/1/1999,0,1,60,60,60,60,37.2,37.2,0,0,37.2
121010776,Gillette Blue 3 CRT3 32775,1,269023,12/1/1999,15,3,18,54,12.46,37.38,11.7,35.11,0.15,5.27,40.38
121004290,Sinomarin ADT Nasal Wash 125ml,221055,510740,10/21/2025,0,1,54,54,54,54,38.02,38.02,0,0,38.02
151000803,Pigon Pltc Juice Fdr 50cc/2 New D348,1,512530,12/1/1999,15,2,18,36,11.92,23.84,11.92,23.84,0.15,3.58,27.42
111002415,Xalacom eye drops,ga8248,511279,1/31/2025,0,1,33.4,33.4,33.4,33.4,27.84,27.84,0,0,27.84
121006239,Oppo 4284 Finger Splint,1,274217,12/1/1999,0,1,18,18,18,18,11.7,11.7,0,0,11.7
121000339,BLF Nail File Biger 1040/7,1,338903,12/1/1999,15,6,2,12,2,12,1,6,0.15,0.9,6.9
151001742,Malia Face Mask,1,460753,8/1/2025,15,1,10.43,10.43,6.68,6.68,6.68,6.68,0.15,1,7.68
