"Product Code","Product Name",Batch,Expiry,Balance,"Purchase Price","Sale Price","Item Cost","Total Cost","Total Sale Price"
05000456006378,"Seroquel 300mg tab",ry241,2024-02-01,6,0,185.86,163.15,978.9,1115.16
05000456006378,"Seroquel 300mg tab",ac0140,0000-00-00,0,0,185.86,163.15,163.15,185.86
05000456006385,"Crestor 10mg 28 tab",sb019,2025-01-01,3,0,85.65,85.65,256.95,256.95
05000456006392,"Crestor 20mg tab",1,2024-04-30,1,0,145.25,145.25,145.25,145.25
05000456006392,"Crestor 20mg tab",sb024,2025-01-01,5,0,145.25,145.25,726.25,726.25
05000456007283,"Symbicort 160mcgTarb. 120 dos",smsv,2024-08-01,0,0,169.80,169.80,169.8,169.8
05000456007283,"Symbicort 160mcgTarb. 120 dos",smpn,2024-06-01,0,0,169.80,169.80,169.8,169.8
05000456007283,"Symbicort 160mcgTarb. 120 dos",smsp,2024-08-01,0,0,169.80,169.80,169.8,169.8
05000456007283,"Symbicort 160mcgTarb. 120 dos",ac0140,0000-00-00,0,0,169.80,169.80,169.8,169.8
05000456007283,"Symbicort 160mcgTarb. 120 dos",smnz,0000-00-00,-1,0,169.80,169.80,-169.8,-169.8
05000456007283,"Symbicort 160mcgTarb. 120 dos",154179,0000-00-00,0,0,169.80,169.80,169.8,169.8
05000456007337,"Nexium 20mg tab bx/28 ea",zeeg,2024-06-30,3,0,68.70,54.76,164.28,206.1
05000456007337,"Nexium 20mg tab bx/28 ea",154179,0000-00-00,0,0,68.70,54.76,54.76,68.7
05000456007344,"Nexium 20mg tabs bx/14 ea",zehl,2024-09-30,16,0,35.25,35.25,564,564
05000456007344,"Nexium 20mg tabs bx/14 ea",2uc708,0000-00-00,0,0,35.25,35.25,35.25,35.25
05000456007368,"Nexium 40mg tab bx/14 ea",zpka,2024-02-01,6,0,48.05,48.05,288.3,288.3
05000456007368,"Nexium 40mg tab bx/14 ea",154179,0000-00-00,0,0,48.05,48.05,48.05,48.05
05000456007375,"Atacand 8mg tabs bx/28 ea.",NBCD,2024-10-28,5,0,55.10,55.10,275.5,275.5
05000456007375,"Atacand 8mg tabs bx/28 ea.",221105,0000-00-00,0,0,55.10,55.10,55.1,55.1
05000456007399,"Nexium 40mg tab bx/28 ea",zphy,2024-08-31,17,0,85.80,74.61,1268.37,1458.6
05000456007399,"Nexium 40mg tab bx/28 ea",nt69k00s1,0000-00-00,0,0,85.80,74.61,74.61,85.8
05000456007399,"Nexium 40mg tab bx/28 ea",zpkz,2024-08-31,6,0,85.80,74.61,447.66,514.8
05000456007399,"Nexium 40mg tab bx/28 ea",2r5v,0000-00-00,0,0,85.80,74.61,74.61,85.8
05000456007412,"Nexium 20mg tab bx/28 ea",zeeg,2024-06-30,15,0,68.70,57.25,858.75,1030.5
05000456007412,"Nexium 20mg tab bx/28 ea",nt69k00s1,0000-00-00,0,0,68.70,57.25,57.25,68.7
05000456007429,"Nexium 40mg tab bx/14 ea",zpka,2024-07-29,19,0,48.05,40.04,760.76,912.95
05000456007429,"Nexium 40mg tab bx/14 ea",nt69k00s1,0000-00-00,0,0,48.05,40.04,40.04,48.05
05000456007429,"Nexium 40mg tab bx/14 ea",zpkw,2024-08-01,6,0,48.05,40.04,240.24,288.3
05000456007429,"Nexium 40mg tab bx/14 ea",2r5v,0000-00-00,0,0,48.05,40.04,40.04,48.05
05000456007436,"Atacand 8mg tabs bx/28 ea.",,0000-00-00,0,0,55.10,45.92,45.92,55.1
05000456007443,"Atacand Plus 16/12.50mg 28 tab",,0000-00-00,0,0,75.90,66.00,66,75.9
05000456007443,"Atacand Plus 16/12.50mg 28 tab",vblh,2024-11-01,3,0,75.90,66.00,198,227.7
05000456007443,"Atacand Plus 16/12.50mg 28 tab",yn0040,0000-00-00,0,0,75.90,66.00,66,75.9
05000456007450,"Atacand 16mg tabs box/28 ea.",,0000-00-00,0,0,67.35,58.57,58.57,67.35
05000456007535,"Pulmicort 0.5mg/ml Soln. Bx/20?2ml",pdwp,2024-09-01,0,0,149.15,129.70,129.7,149.15
05000456007535,"Pulmicort 0.5mg/ml Soln. Bx/20?2ml",vn329a,0000-00-00,0,0,149.15,129.70,129.7,149.15
05000456007535,"Pulmicort 0.5mg/ml Soln. Bx/20?2ml",tf8v,0000-00-00,0,0,149.15,129.70,129.7,149.15
05000456007634,"Rhinocort Aqua 64mcg/dose bt/10ml",bo467,2024-10-01,0,0,50.65,50.65,50.65,50.65
05000456007634,"Rhinocort Aqua 64mcg/dose bt/10ml",ac0140,0000-00-00,0,0,50.65,50.65,50.65,50.65
05000456007634,"Rhinocort Aqua 64mcg/dose bt/10ml",154179,0000-00-00,0,0,50.65,50.65,50.65,50.65
05000456009256,"Forxiga 10mg 28Tab",sd617,2025-02-01,0,0,159.00,159.00,159,159
05000456009256,"Forxiga 10mg 28Tab",tly32,0000-00-00,0,0,159.00,159.00,159,159
05000456011846,"Atacand Plus 16/12.50mg 28 tab",VBKS,2024-07-29,5,0,75.90,75.90,379.5,379.5
05000456011846,"Atacand Plus 16/12.50mg 28 tab",221105,0000-00-00,0,0,75.90,75.90,75.9,75.9
05000456019224,"Kombiglyzer XR 500/5 mg 30Tab",pc0156,2025-01-01,0,0,142.55,119.14,119.14,142.55
05000456019224,"Kombiglyzer XR 500/5 mg 30Tab",nt69k00s1,0000-00-00,0,0,142.55,119.14,119.14,142.55
05000456021203,"Xigduo XR 10mg/1000mg 28Tab",pt0147,2025-12-01,2,0,165.85,143.67,287.34,331.7
05000456021203,"Xigduo XR 10mg/1000mg 28Tab",ac0140,0000-00-00,0,0,165.85,143.67,143.67,165.85
05000456021203,"Xigduo XR 10mg/1000mg 28Tab",154179,0000-00-00,0,0,165.85,143.67,143.67,165.85
05000456026345,"Inderal 40mg 50 tab",se089,2024-02-01,3,0,40.00,40.00,120,120
05000456026345,"Inderal 40mg 50 tab",tly32,0000-00-00,0,0,40.00,40.00,40,40
05000456026383,"Inderal 10mg 50Tap",sf582,2025-02-01,6,0,20.00,20.00,120,120
05000456026383,"Inderal 10mg 50Tap",tly32,0000-00-00,0,0,20.00,20.00,20,20
05012617016362,"Cyclogest 400mg vagt",ncb4296,2025-09-30,2,0,87.65,66.53,133.06,175.3
05012617016362,"Cyclogest 400mg vagt",221105,0000-00-00,0,0,87.65,66.53,66.53,87.65
05016007206142,"Pred Fort Eye Drops",393275,2024-10-31,6,0,16.05,13.38,80.28,96.3
05016007206142,"Pred Fort Eye Drops",nt69k00s1,0000-00-00,0,0,16.05,13.38,13.38,16.05
05016007206159,"Oflox 5ml eye drops",392110,2024-10-31,0,0,13.50,11.25,11.25,13.5
05016007206159,"Oflox 5ml eye drops",nt69k00s1,0000-00-00,0,0,13.50,11.25,11.25,13.5
05016007206180,"Combigan Drops",391869,2024-07-01,0,0,48.29,39.95,39.95,48.29
05016007206180,"Combigan Drops",2401122,0000-00-00,0,0,48.29,39.95,39.95,48.29
05016007206241,"Refresh Plus Eye Drops",387189a,2024-07-31,4,0,18.40,18.40,73.6,73.6
05016007206241,"Refresh Plus Eye Drops",ac0140,0000-00-00,0,0,18.40,18.40,18.4,18.4
05016007206241,"Refresh Plus Eye Drops",392672a,2024-12-01,6,0,18.40,18.40,110.4,110.4
05016007206241,"Refresh Plus Eye Drops",vn329a,0000-00-00,0,0,18.40,18.40,18.4,18.4
05016007206241,"Refresh Plus Eye Drops",154179,0000-00-00,0,0,18.40,18.40,18.4,18.4
05016007206258,"Alphagan P Eye Drops 5ml",397035,2025-02-28,4,0,38.50,34.69,138.76,154
05016007206258,"Alphagan P Eye Drops 5ml",yn0040,0000-00-00,0,0,38.50,34.69,34.69,38.5
05016007206265,"Refresh Tears 0.5% Eye Drops 15ml",395183,2025-02-01,0,0,15.80,15.80,15.8,15.8
05016007206265,"Refresh Tears 0.5% Eye Drops 15ml",vn329a,0000-00-00,0,0,15.80,15.80,15.8,15.8
05016007206265,"Refresh Tears 0.5% Eye Drops 15ml",tf8v,0000-00-00,0,0,15.80,15.80,15.8,15.8
05060064170632,"Neo Mercazole tab 5mg 100s",f4026,2025-09-01,2,0,21.85,21.85,43.7,43.7
05060064170632,"Neo Mercazole tab 5mg 100s",154179,0000-00-00,0,0,21.85,21.85,21.85,21.85
05290931018297,"Ceruxim 500 Mg Tab",K6J009,2025-09-30,3,0,56.55,36.19,108.57,169.65
05290931018297,"Ceruxim 500 Mg Tab",221105,0000-00-00,0,0,56.55,36.19,36.19,56.55
05413868100044,"Daktacort 20mg/15gm cream",MHB3J00,2025-07-31,9,0,11.95,9.52,85.68,107.55
05413868100044,"Daktacort 20mg/15gm cream",221105,0000-00-00,0,0,11.95,9.52,9.52,11.95
05413868100051,"Daktarin 2% 30gm cream",mjb2100,2024-09-30,3,0,15.85,15.85,47.55,47.55
05413868100051,"Daktarin 2% 30gm cream",221105,0000-00-00,0,0,15.85,15.85,15.85,15.85
05413868100068,"Daktarin Oral Gel",mjb2000,2025-09-30,12,0,16.50,16.50,198,198
05413868100068,"Daktarin Oral Gel",221105,0000-00-00,0,0,16.50,16.50,16.5,16.5
05413868100334,"Nizoral 2% 30gm cream",mhb2d00,2025-07-01,0,0,19.35,19.35,19.35,19.35
05413868100457,"Risperdal 1mg 6Tab",lil4p00,2024-09-30,3,0,23.70,19.35,58.05,71.1
05413868100464,"Risperdal 2mg 20tab",mcl2x00a,2025-02-01,2,0,27.86,23.83,47.66,55.72
05413868100464,"Risperdal 2mg 20tab",154179,0000-00-00,0,0,27.86,23.83,23.83,27.86
05413868100693,"Vermox 100mg 6 tab",22gq068,2025-06-01,10,0,9.50,9.50,95,95
05413868100693,"Vermox 100mg 6 tab",344222,0000-00-00,0,0,9.50,9.50,9.5,9.5
05413895030819,"Naphcon A  Drops",1562rp,2024-10-01,20,0,17.25,17.25,345,345
05413895030819,"Naphcon A  Drops",344222,0000-00-00,0,0,17.25,17.25,17.25,17.25
05413895030826,"Tears natural drops",vm243a,2025-12-31,10,0,9.50,7.92,79.2,95
05413895030826,"Tears natural drops",vn329a,0000-00-00,0,0,9.50,7.92,7.92,9.5
05413895030864,"Tobrex eye oint",vn697b,2026-02-28,10,0,18.70,15.58,155.8,187
05413895030871,"Travatan 0.004% eye drops",vh725l,2024-10-31,0,0,50.37,41.22,41.22,50.37
05413895030871,"Travatan 0.004% eye drops",ac0140,0000-00-00,0,0,50.37,41.22,41.22,50.37
05415062000120,"Amlor 10mg 30 Caps",gx3953,2027-01-01,13,0,64.40,67.80,881.4,837.2
