Item No.,Item name,Patch No.,Ascon code,EXPIRY DATE,Qty,sp,TSP,PP,TPP,CP,TCP,Vat,vat value,total cost
111000123,Anazol 250mg  20 tab,6554,527857,30/08/26,1,6.45,6.45,6.45,6.45,3.60111,3.60111,0,0,3.60111
111000123,Anazol 250mg  20 tab,5179,526634,31/10/25,2,6.45,12.9,6.45,12.9,3.87,7.74,0,0,7.74
111000137,Apiflox eye drops,ex136,538136,28/09/25,1,13.85,13.85,13.85,13.85,8.31066,8.31066,0,0,8.31066
111003891,Apimol 5% drops,eb251,544900,1/3/2026,1,9.95,9.95,6.39,6.39,6.39,6.39,0,0,6.39
111003062,Apisal Nasal Spray 15ml,MC332,540913,1/6/2026,1,21.9,21.9,21.9,21.9,14.05362,14.05362,0,0,14.05362
111003062,Apisal Nasal Spray 15ml,MC375,549252,1/7/2027,2,21.9,43.8,21.9,43.8,14.05362,28.10724,0,0,28.10724
111003062,Apisal Nasal Spray 15ml,mc354,550374,1/12/2026,5,21.9,109.5,21.9,109.5,14.05362,70.2681,0,0,70.2681
111000147,Apo-diclo 50mg 20tab,tw9806,505482,31/07/26,2,19.8,39.6,19.8,39.6,0,0,0,0,0
111000148,Apo-doxy 100mg capsule,VA9839,526635,28/02/27,1,28.85,28.85,28.85,28.85,21.926,21.926,0,0,21.926
111000148,Apo-doxy 100mg capsule,VA9839,540914,28/02/27,3,28.85,86.55,28.85,86.55,20.91792,62.75376,0,0,62.75376
111000151,Aprovel 300mg 28tab,DA601,442240,28/02/25,1,77,77,77,77,66.9592,66.9592,0,0,66.9592
131000402,Aptajunior No.3 400 g,1,548554,1/1/2026,11,40,440,36.52,401.72,36.52,401.72,0.15,60.258,461.978
131000004,Aptamil  2 (Nektamil) 900g,1,540437,12/12/2025,1,90.43,90.43,85.6,85.6,85.6,85.6,0.15,12.84,98.44
131000005,Aptamil 1 ( Naktramil) 400g,1,548553,30/12/25,4,43,172,39.38,157.52,39.38,157.52,0.15,23.628,181.148
131000007,Aptamil 2 ( Naktramil) 400g,1,540435,12/12/2025,1,43,43,39.4,39.4,39.4,39.4,0.15,5.91,45.31
131000007,Aptamil 2 ( Naktramil) 400g,1,525341,10/10/2026,2,43,86,39.4,78.8,39.4,78.8,0.15,11.82,90.62
131000007,Aptamil 2 ( Naktramil) 400g,1,548516,1/12/2025,5,43,215,39.38,196.9,39.38,196.9,0.15,29.535,226.435
111003847,AQUAFLAM 50mg,24DB76,549253,31/07/26,5,24,120,24,120,14.40115,72.00575,0,0,72.00575
111003699,Aqualyte Oral Solution Apple Taste 240ml,17641,530354,28/02/26,6,12.15,72.9,12.15,72.9,7.23272,43.39632,0,0,43.39632
111003220,Aquamarine 2in1 Omega-3 60Cap,2305001A,531162,1/4/2025,1,57.7,57.7,43.28,43.28,43.28,43.28,0,0,43.28
111003221,Aquamarine Omega-3 60Cap,2305002A,516804,1/4/2025,1,57.7,57.7,57.7,57.7,43.27846,43.27846,0,0,43.27846
111000154,Arcoxia 120mg 7 tab,X026733,530845,31/07/26,2,18.6,37.2,14.73,29.46,14.73,29.46,0,0,29.46
111000155,Arcoxia 60mg 28tab,X028674,532540,30/09/26,2,74.4,148.8,74.4,148.8,64.69824,129.39648,0,0,129.39648
111000155,Arcoxia 60mg 28tab,x028674,538137,30/09/26,2,74.4,148.8,74.4,148.8,61.46333,122.92666,0,0,122.92666
111000156,Arcoxia 90mg 28 tab,y006578,550174,31/01/27,1,74.4,74.4,74.4,74.4,61.46333,61.46333,0,0,61.46333
121000149,Ardel 40710 Duralsh Short Black,1,461435,1/8/2030,4,25,100,16,64,16,64,0.15,9.6,73.6
121000151,Ardel 60110 Fashion Lashes101,z,449955,1/8/2030,5,22,110,17,85,11.05,55.25,0.15,8.2875,63.5375
121000156,Ardel 62410 Fashion Lashes 124,1,398990,1/8/2030,3,22,66,22,66,13.2,39.6,0.15,5.94,45.54
121000156,Ardel 62410 Fashion Lashes 124,1,461432,1/8/2030,4,22,88,14.08,56.32,14.08,56.32,0.15,8.448,64.768
111003177,Arena 150mg 30 Tab,ZC0155,544962,1/3/2025,1,45.95,45.95,33.32,33.32,33.32,33.32,0,0,33.32
111003177,Arena 150mg 30 Tab,zc0155,536498,1/3/2025,2,45.95,91.9,45.95,91.9,31.91228,63.82456,0,0,63.82456
111003178,Arena 300mg 30 Tab,ZC0180,489759,1/3/2025,2,58.9,117.8,58.9,117.8,42.70592,85.41184,0,0,85.41184
121017193,arnier Sk Tissue Mask Fast Fairness vit c 28gm,1,485553,31/08/27,1,17,17,13.11,13.11,13.11,13.11,0.15,1.9665,15.0765
121016942,arnier UD Shampo Purifying Shine 600ml,1,528681,26/05/29,2,24,48,16.06,32.12,16.06,32.12,0.15,4.818,36.938
151000050,ARS  Elect Mosq Kilr Liq+Refl 45,1,534056,3/12/2025,1,29,29,21.5,21.5,21.5,21.5,0.15,3.225,24.725
151000054,ARS Mosquites Liquid 360 Hrs,1,534057,3/12/2025,8,14.3,114.4,11.25,90,11.25,90,0.15,13.5,103.5
151000055,ARS Mosquites Liquid 720 Hrs,1,522806,3/3/2025,8,22,176,17.5,140,17.5,140,0.15,21,161
111002556,ARS Repellent Spray 100ml,1,476360,1/4/2025,2,23,46,15.5,31,15.5,31,0.15,4.65,35.65
111002556,ARS Repellent Spray 100ml,1,518824,1/4/2025,3,23,69,15,45,15,45,0.15,6.75,51.75
111003332,Artelac Advanced Eye Drops,HY-4723,526636,31/05/25,1,74,74,74,74,64.3504,64.3504,0,0,64.3504
111004061,Artelac Nigh Time Gel 2mg,103,527975,30/10/25,2,30.1,60.2,30.1,60.2,25.08233,50.16466,0,0,50.16466
111003848,Arthriflex Cream 100gm,2h007,514960,1/8/2026,1,85,85,85,85,62.05,62.05,0,0,62.05
111000162,Artiz  10 mg  10  s  sale,4NR443,545465,5/9/2027,1,9.75,9.75,9.75,9.75,5.85047,5.85047,0,0,5.85047
111000162,Artiz  10 mg  10  s  sale,4nr437,550375,1/8/2027,2,9.75,19.5,9.75,19.5,5.85047,11.70094,0,0,11.70094
111000162,Artiz  10 mg  10  s  sale,4nr443,550176,1/9/2027,7,9.75,68.25,9.75,68.25,5.85047,40.95329,0,0,40.95329
111004110,Artiz 10mg 30 Tab,4nr418,541271,5/6/2027,4,29.25,117,29.25,117,17.41037,69.64148,0,0,69.64148
111004110,Artiz 10mg 30 Tab,4NR404,540636,8/3/2027,5,27.75,138.75,27.75,138.75,16.65133,83.25665,0,0,83.25665
121013824,Ascensia Contour Next Microfill Strips 50s,1,539990,8/8/2025,1,130,130,80,80,80,80,0,0,80
111004770,Ashwagandha 60 Tab,BS308,537967,30/05/26,1,80,80,50,50,50,50,0,0,50
111000165,Aspicard 81mg 120 S,3lj167,509952,30/09/26,1,30,30,30,30,25.002,25.002,0,0,25.002
111000165,Aspicard 81mg 120 S,3lj166,540916,1/4/2026,3,30,90,30,90,25.002,75.006,0,0,75.006
111003762,Aspirin Protect 100mg 60Tab,bt18n01,549475,30/06/25,4,19.05,76.2,19.05,76.2,15.87627,63.50508,0,0,63.50508
111000170,Astatin 10mg 30 tabs,bc0119,524078,1/3/2026,1,43.45,43.45,43.45,43.45,27.88265,27.88265,0,0,27.88265
111000171,Astatin 20mg 30 tabs,AN0330,540917,1/12/2025,1,43.45,43.45,43.45,43.45,27.88265,27.88265,0,0,27.88265
111000171,Astatin 20mg 30 tabs,AC0428,544896,1/3/2025,1,43.45,43.45,27.88,27.88,27.88,27.88,0,0,27.88
111000172,Astatin 40mg 30 tabs,BD0242,540918,1/4/2026,1,86.9,86.9,86.9,86.9,58.18754,58.18754,0,0,58.18754
111000172,Astatin 40mg 30 tabs,ac0482,503885,1/4/2025,1,86.9,86.9,86.9,86.9,58.94323,58.94323,0,0,58.94323
121000186,Astroglide 35ml,1,547189,15/03/26,2,34.95,69.9,17.48,34.96,17.48,34.96,0,0,34.96
121017543,Astroglide Lubricant Silicone Gel 85ml,1,505289,31/07/26,2,66,132,66,132,66,132,0,0,132
121017543,Astroglide Lubricant Silicone Gel 85ml,RET,475729,1/8/2030,2,66,132,0,0,0,0,0,0,0
121015812,Astroglide Strawberry 73.9ml,1,546765,7/3/2027,3,45,135,27.48,82.44,27.48,82.44,0,0,82.44
121015812,Astroglide Strawberry 73.9ml,1,505285,2/11/2025,4,50,200,50,200,50,200,0,0,200
121000190,Astroglide Warming Liquid 35ml,1,505291,10/2/2026,4,35,140,35,140,35,140,0,0,140
111003962,Atorlip 10mg 30 Tab,C607,549255,17/02/27,2,43.45,86.9,43.45,86.9,22.81307,45.62614,0,0,45.62614
111003963,Atorlip 20mg 30 Tab,D017,546132,24/07/27,1,43.45,43.45,43.45,43.45,22.81307,22.81307,0,0,22.81307
111000177,Atorva 10mg FC 30  s tabs,5556,505502,1/12/2025,1,43.45,43.45,43.45,43.45,0,0,0,0,0
111000177,Atorva 10mg FC 30  s tabs,5923,519428,1/11/2026,2,43.45,86.9,43.45,86.9,0,0,0,0,0
111000178,Atorva 20mg FC 30 s tabs,7398,540784,24/02/27,1,43.45,43.45,43.45,43.45,16.29505,16.29505,0,0,16.29505
111000178,Atorva 20mg FC 30 s tabs,6829,550376,1/10/2026,1,43.45,43.45,43.45,43.45,16.29505,16.29505,0,0,16.29505
111000179,Atorva 40mg FC 30  s tabs,6835,540921,7/11/2026,1,86.9,86.9,86.9,86.9,34.00571,34.00571,0,0,34.00571
111000179,Atorva 40mg FC 30  s tabs,5724,503851,1/1/2026,1,86.9,86.9,86.9,86.9,26.44888,26.44888,0,0,26.44888
111000183,Atrovent 500mcg/2ml vial,4982201,532836,31/01/26,1,42.15,42.15,42.15,42.15,35.12781,35.12781,0,0,35.12781
121021128,Attention ATT-019,1,491533,1/8/2030,4,16,64,11,44,6.6,26.4,0.15,3.96,30.36
121021135,Attention ATT-050,1,491540,1/8/2030,4,12,48,7,28,4.2,16.8,0.15,2.52,19.32
121021136,Attention ATT-052,1,491541,1/8/2030,1,17,17,12,12,7.2,7.2,0.15,1.08,8.28
121021139,Attention ATT-055,1,491544,1/8/2030,3,18,54,13.5,40.5,8.1,24.3,0.15,3.645,27.945
121021140,Attention ATT-056,1,491545,1/8/2030,2,10,20,6,12,3.6,7.2,0.15,1.08,8.28
121021142,Attention ATT-060,1,491547,1/8/2030,2,17,34,12,24,7.2,14.4,0.15,2.16,16.56
121021147,Attention ATT-073,1,491552,1/8/2030,3,25,75,18,54,10.8,32.4,0.15,4.86,37.26
111000186,Augmentin 1gm 14tab,G24E,540922,1/11/2026,3,78.3,234.9,78.3,234.9,57.19533,171.58599,0,0,171.58599
111000188,Augmentin 312mg syrup,UT9A,527864,28/02/25,2,32.55,65.1,32.55,65.1,22.60507,45.21014,0,0,45.21014
111000189,Augmentin 375mg 20 tab,C57R,527865,11/7/2025,2,36.75,73.5,36.75,73.5,25.52492,51.04984,0,0,51.04984
111000190,Augmentin 457mg 70ml syrup,537B-A,543929,31/05/25,1,33.05,33.05,33.05,33.05,23.13685,23.13685,0,0,23.13685
111000192,Augmentin 625mg 20tab,kp5y,541272,23/01/27,3,63.8,191.4,63.8,191.4,44.31264,132.93792,0,0,132.93792
121010606,Avalon Alpha Plus Cream 30g,5113009,536524,1/4/2025,1,137,137,137,137,68.0753,68.0753,0.15,10.211295,78.286595
111004530,Avalon Avoban Nasal Ointment 3gm,2114002,524081,1/1/2027,1,28.45,28.45,28.45,28.45,13.98904,13.98904,0,0,13.98904
151001314,Avalon Avoban Ointment 15g,5124017,549272,27/09/26,1,19.4,19.4,19.4,19.4,9.5391,9.5391,0,0,9.5391
111000198,Avalon Avocaine 10% Spray 50ml,584049,550377,1/8/2027,2,24.45,48.9,24.45,48.9,12.02221,24.04442,0,0,24.04442
121008070,Avalon Avocin 1% Topical Solution 30ml,823016,512799,1/12/2025,1,15.05,15.05,15.05,15.05,8.40359,8.40359,0,0,8.40359
